id,from_node_id,to_node_id,status
1,1,2,1
2,1,39,1
3,2,3,1
4,2,25,1
5,2,30,1
6,3,4,1
7,3,18,1
8,4,5,1
9,4,14,1
10,5,6,1
11,5,8,1
12,6,7,1
13,6,11,1
14,6,31,1
15,7,8,1
16,8,9,1
17,9,39,1
18,10,11,1
19,10,13,1
20,10,32,1
21,12,11,1
22,12,13,1
23,13,14,1
24,14,15,1
25,15,16,1
26,16,17,1
27,16,19,1
28,16,21,1
29,16,24,1
30,17,18,1
31,17,27,1
32,19,20,1
33,19,33,1
34,20,34,1
35,21,22,1
36,22,23,1
37,22,35,1
38,23,24,1
39,23,36,1
40,25,26,1
41,25,37,1
42,26,27,1
43,26,28,1
44,26,29,1
45,28,29,1
46,29,38,1
