id,from_node_id,to_node_id,status
1,74,64,1
2,64,74,1
3,74,75,1
4,75,74,1
5,74,84,1
6,84,74,1
7,74,73,1
8,73,74,1
9,70,60,1
10,60,70,1
11,70,69,1
12,69,70,1
13,70,80,1
14,80,70,1
15,8,7,1
16,7,8,1
17,8,9,1
18,9,8,1
19,8,18,1
20,18,8,1
21,17,7,1
22,7,17,1
23,17,18,1
24,18,17,1
25,17,27,1
26,27,17,1
27,17,16,1
28,16,17,1
29,38,28,1
30,28,38,1
31,38,39,1
32,39,38,1
33,38,48,1
34,48,38,1
35,38,37,1
36,37,38,1
37,26,16,1
38,16,26,1
39,26,27,1
40,27,26,1
41,26,25,1
42,25,26,1
43,26,36,1
44,36,26,1
45,86,87,1
46,87,86,1
47,86,96,1
48,96,86,1
49,86,76,1
50,76,86,1
51,86,85,1
52,85,86,1
53,59,60,1
54,60,59,1
55,59,58,1
56,58,59,1
57,59,69,1
58,69,59,1
59,59,49,1
60,49,59,1
61,41,31,1
62,31,41,1
63,41,42,1
64,42,41,1
65,41,51,1
66,51,41,1
67,91,81,1
68,81,91,1
69,91,92,1
70,92,91,1
71,68,58,1
72,58,68,1
73,68,69,1
74,69,68,1
75,68,78,1
76,78,68,1
77,68,67,1
78,67,68,1
79,56,46,1
80,46,56,1
81,56,57,1
82,57,56,1
83,56,55,1
84,55,56,1
85,56,66,1
86,66,56,1
87,77,87,1
88,87,77,1
89,77,76,1
90,76,77,1
91,77,78,1
92,78,77,1
93,77,67,1
94,67,77,1
95,5,4,1
96,4,5,1
97,5,6,1
98,6,5,1
99,5,15,1
100,15,5,1
101,12,2,1
102,2,12,1
103,12,13,1
104,13,12,1
105,12,11,1
106,11,12,1
107,12,22,1
108,22,12,1
109,33,43,1
110,43,33,1
111,33,32,1
112,32,33,1
113,33,34,1
114,34,33,1
115,33,23,1
116,23,33,1
117,27,28,1
118,28,27,1
119,27,37,1
120,37,27,1
121,83,93,1
122,93,83,1
123,83,82,1
124,82,83,1
125,83,84,1
126,84,83,1
127,83,73,1
128,73,83,1
129,46,47,1
130,47,46,1
131,46,45,1
132,45,46,1
133,46,36,1
134,36,46,1
135,94,93,1
136,93,94,1
137,94,84,1
138,84,94,1
139,94,95,1
140,95,94,1
141,61,62,1
142,62,61,1
143,61,71,1
144,71,61,1
145,61,51,1
146,51,61,1
147,76,75,1
148,75,76,1
149,76,66,1
150,66,76,1
151,2,1,1
152,1,2,1
153,2,3,1
154,3,2,1
155,32,31,1
156,31,32,1
157,32,42,1
158,42,32,1
159,32,22,1
160,22,32,1
161,100,90,1
162,90,100,1
163,100,99,1
164,99,100,1
165,79,89,1
166,89,79,1
167,79,69,1
168,69,79,1
169,79,80,1
170,80,79,1
171,79,78,1
172,78,79,1
173,22,21,1
174,21,22,1
175,22,23,1
176,23,22,1
177,90,89,1
178,89,90,1
179,90,80,1
180,80,90,1
181,95,96,1
182,96,95,1
183,95,85,1
184,85,95,1
185,52,53,1
186,53,52,1
187,52,62,1
188,62,52,1
189,52,42,1
190,42,52,1
191,52,51,1
192,51,52,1
193,73,63,1
194,63,73,1
195,73,72,1
196,72,73,1
197,16,6,1
198,6,16,1
199,16,15,1
200,15,16,1
201,37,47,1
202,47,37,1
203,37,36,1
204,36,37,1
205,23,13,1
206,13,23,1
207,23,24,1
208,24,23,1
209,87,97,1
210,97,87,1
211,87,88,1
212,88,87,1
213,42,43,1
214,43,42,1
215,98,99,1
216,99,98,1
217,98,97,1
218,97,98,1
219,98,88,1
220,88,98,1
221,65,75,1
222,75,65,1
223,65,64,1
224,64,65,1
225,65,55,1
226,55,65,1
227,65,66,1
228,66,65,1
229,55,45,1
230,45,55,1
231,55,54,1
232,54,55,1
233,72,82,1
234,82,72,1
235,72,62,1
236,62,72,1
237,72,71,1
238,71,72,1
239,6,7,1
240,7,6,1
241,11,21,1
242,21,11,1
243,11,1,1
244,1,11,1
245,9,10,1
246,10,9,1
247,9,19,1
248,19,9,1
249,36,35,1
250,35,36,1
251,28,29,1
252,29,28,1
253,28,18,1
254,18,28,1
255,84,85,1
256,85,84,1
257,47,57,1
258,57,47,1
259,47,48,1
260,48,47,1
261,93,92,1
262,92,93,1
263,62,63,1
264,63,62,1
265,58,57,1
266,57,58,1
267,58,48,1
268,48,58,1
269,75,85,1
270,85,75,1
271,3,13,1
272,13,3,1
273,3,4,1
274,4,3,1
275,14,13,1
276,13,14,1
277,14,4,1
278,4,14,1
279,14,24,1
280,24,14,1
281,14,15,1
282,15,14,1
283,49,39,1
284,39,49,1
285,49,48,1
286,48,49,1
287,49,50,1
288,50,49,1
289,31,21,1
290,21,31,1
291,29,39,1
292,39,29,1
293,29,19,1
294,19,29,1
295,29,30,1
296,30,29,1
297,99,89,1
298,89,99,1
299,81,82,1
300,82,81,1
301,81,71,1
302,71,81,1
303,63,64,1
304,64,63,1
305,63,53,1
306,53,63,1
307,15,25,1
308,25,15,1
309,40,39,1
310,39,40,1
311,40,50,1
312,50,40,1
313,40,30,1
314,30,40,1
315,24,25,1
316,25,24,1
317,24,34,1
318,34,24,1
319,20,10,1
320,10,20,1
321,20,19,1
322,19,20,1
323,20,30,1
324,30,20,1
325,88,89,1
326,89,88,1
327,88,78,1
328,78,88,1
329,43,53,1
330,53,43,1
331,43,44,1
332,44,43,1
333,97,96,1
334,96,97,1
335,66,67,1
336,67,66,1
337,54,64,1
338,64,54,1
339,54,53,1
340,53,54,1
341,54,44,1
342,44,54,1
343,18,19,1
344,19,18,1
345,35,45,1
346,45,35,1
347,35,25,1
348,25,35,1
349,35,34,1
350,34,35,1
351,60,50,1
352,50,60,1
353,92,82,1
354,82,92,1
355,67,57,1
356,57,67,1
357,34,44,1
358,44,34,1
359,45,44,1
360,44,45,1
