id,from_node_id,to_node_id,status
1,1,2,1
2,1,3,1
3,4,5,1
4,3,5,1
5,5,6,1
6,6,7,1
7,8,9,1
8,8,5,1
9,9,10,1
10,4,11,1
11,5,11,1
12,11,12,1
13,2,12,1
14,3,12,1
15,7,12,1
16,11,13,1
17,12,14,1
18,13,15,0
19,14,15,0
20,12,16,0
21,15,17,1
22,16,17,0
23,17,18,1
24,18,19,1
25,19,20,1
26,15,19,1
27,20,21,1
28,21,22,1
29,22,23,1
30,23,24,1
31,23,25,1
32,26,25,1
33,25,27,1
34,27,28,1
35,28,29,1
36,30,17,1
37,8,30,1
38,26,30,1
39,17,31,1
40,29,31,1
41,23,32,1
42,31,32,1
43,27,32,1
44,15,33,0
45,19,34,0
46,35,36,1
47,35,37,1
48,33,37,1
49,34,36,1
50,34,37,1
51,38,37,1
52,37,39,1
53,37,40,1
54,30,38,0
55,39,40,0
56,40,41,0
57,40,42,0
58,41,42,1
59,43,44,1
60,34,43,0
61,44,45,1
62,45,46,0
63,46,47,1
64,46,48,0
65,47,49,0
66,42,49,1
67,42,49,1
68,45,49,0
69,48,49,1
70,49,50,1
71,49,51,1
72,51,52,1
73,52,53,1
74,53,54,0
75,49,54,1
76,49,54,1
77,54,55,0
78,54,56,0
79,55,56,0
80,56,57,0
81,50,57,1
82,56,58,0
83,51,58,1
84,54,59,0
85,56,59,0
86,56,59,0
87,55,59,0
88,59,60,1
89,59,61,1
90,60,61,1
91,60,62,0
92,61,62,0
93,63,59,1
94,63,64,1
95,64,61,0
96,38,65,1
97,64,65,1
98,49,66,1
99,49,66,1
100,62,66,1
101,62,67,1
102,65,66,0
103,66,67,1
104,65,68,0
105,47,69,0
106,49,69,0
107,68,69,0
108,69,70,1
109,24,70,0
110,70,71,1
111,24,72,0
112,71,72,0
113,71,73,1
114,70,74,1
115,70,75,0
116,69,75,1
117,74,75,1
118,76,77,1
119,69,77,0
120,75,77,0
121,77,78,1
122,78,79,0
123,77,80,0
124,77,80,0
125,79,80,1
126,68,81,0
127,81,80,0
128,77,82,0
129,82,83,1
130,83,84,1
131,83,85,1
132,84,85,1
133,85,86,1
134,86,87,1
135,85,88,1
136,85,89,1
137,88,89,1
138,89,90,1
139,89,90,1
140,90,91,0
141,89,92,1
142,89,92,1
143,91,92,1
144,92,93,1
145,92,94,1
146,93,94,1
147,94,95,1
148,80,96,0
149,82,96,0
150,94,96,0
151,80,97,1
152,80,98,1
153,80,99,0
154,92,100,1
155,94,100,0
156,95,96,0
157,96,97,0
158,98,100,0
159,99,100,0
160,100,101,1
161,92,102,1
162,101,102,1
163,100,103,1
164,100,104,1
165,103,104,1
166,103,105,1
167,100,106,1
168,104,105,1
169,105,106,1
170,105,107,1
171,105,108,1
172,106,107,1
173,108,109,1
174,103,110,1
175,109,110,1
176,110,111,1
177,110,112,1
178,17,113,0
179,32,113,0
180,32,114,1
181,27,115,1
182,114,115,1
183,68,116,1
184,12,117,1
185,75,118,1
186,76,118,0
