time,feature,component,id,parameter,value
2,system,-,-,line_rate_change_factor,0.02734505258771447
3,system,-,-,line_rate_change_factor,0.05394235327440411
4,system,-,-,line_rate_change_factor,0.07981234937512494
5,system,-,-,line_rate_change_factor,0.10497492907202755
6,system,-,-,line_rate_change_factor,0.12944943670387576
7,system,-,-,line_rate_change_factor,0.15325468763747274
8,system,-,-,line_rate_change_factor,0.17640898273242678
9,system,-,-,line_rate_change_factor,0.19893012241037789
10,system,-,-,line_rate_change_factor,0.2208354203395001
11,system,-,-,line_rate_change_factor,0.2421417167448009
12,system,-,-,line_rate_change_factor,0.2628653913544493
13,system,-,-,line_rate_change_factor,0.28302237599208624
14,system,-,-,line_rate_change_factor,0.3026281668247972
15,system,-,-,line_rate_change_factor,0.3216978362761639
16,system,-,-,line_rate_change_factor,0.3402460446135528
17,system,-,-,line_rate_change_factor,0.35828705121854776
18,system,-,-,line_rate_change_factor,0.37583472554919395
19,system,-,-,line_rate_change_factor,0.3929025578024764
20,system,-,-,line_rate_change_factor,0.40950366928523463
21,system,-,-,line_rate_change_factor,0.42565082250148234
22,system,-,-,line_rate_change_factor,0.4413564309638899
23,system,-,-,line_rate_change_factor,0.4566325687369708
24,system,-,-,line_rate_change_factor,0.47149097971930964
25,system,-,-,line_rate_change_factor,0.4859430866719666
26,system,-,-,line_rate_change_factor,0.4999999999999999
