id,from_node_id,to_node_id,status
1,1,2,0
2,1,3,0
3,4,5,0
4,3,5,0
5,5,6,0
6,6,7,0
7,8,9,0
8,8,5,0
9,9,10,0
10,4,11,0
11,5,11,0
12,11,12,0
13,2,12,0
14,3,12,0
15,7,12,0
16,11,13,0
17,12,14,0
18,13,15,0
19,14,15,0
20,12,16,0
21,15,17,0
22,16,17,0
23,17,18,0
24,18,19,0
25,19,20,0
26,15,19,0
27,20,21,0
28,21,22,0
29,22,23,0
30,23,24,0
31,23,25,0
32,26,25,0
33,25,27,0
34,27,28,0
35,28,29,0
36,30,17,0
37,8,30,0
38,26,30,0
39,17,31,0
40,29,31,0
41,23,32,0
42,31,32,0
43,27,32,0
44,15,33,0
45,19,34,0
46,35,36,0
47,35,37,0
48,33,37,0
49,34,36,0
50,34,37,0
51,38,37,0
52,37,39,0
53,37,40,0
54,30,38,0
55,39,40,0
56,40,41,0
57,40,42,0
58,41,42,0
59,43,44,0
60,34,43,0
61,44,45,0
62,45,46,0
63,46,47,0
64,46,48,0
65,47,49,0
66,42,49,0
67,42,49,0
68,45,49,0
69,48,49,0
70,49,50,0
71,49,51,0
72,51,52,0
73,52,53,0
74,53,54,0
75,49,54,0
76,49,54,0
77,54,55,0
78,54,56,0
79,55,56,0
80,56,57,0
81,50,57,0
82,56,58,0
83,51,58,0
84,54,59,0
85,56,59,0
86,56,59,0
87,55,59,0
88,59,60,0
89,59,61,0
90,60,61,0
91,60,62,0
92,61,62,0
93,63,59,0
94,63,64,0
95,64,61,0
96,38,65,0
97,64,65,0
98,49,66,0
99,49,66,0
100,62,66,0
101,62,67,0
102,65,66,0
103,66,67,0
104,65,68,0
105,47,69,0
106,49,69,0
107,68,69,0
108,69,70,0
109,24,70,0
110,70,71,0
111,24,72,0
112,71,72,0
113,71,73,0
114,70,74,0
115,70,75,0
116,69,75,0
117,74,75,0
118,76,77,0
119,69,77,0
120,75,77,0
121,77,78,0
122,78,79,0
123,77,80,0
124,77,80,0
125,79,80,0
126,68,81,0
127,81,80,0
128,77,82,0
129,82,83,0
130,83,84,0
131,83,85,0
132,84,85,0
133,85,86,0
134,86,87,0
135,85,88,0
136,85,89,0
137,88,89,0
138,89,90,0
139,89,90,0
140,90,91,0
141,89,92,0
142,89,92,0
143,91,92,0
144,92,93,0
145,92,94,0
146,93,94,0
147,94,95,0
148,80,96,0
149,82,96,0
150,94,96,0
151,80,97,0
152,80,98,0
153,80,99,0
154,92,100,0
155,94,100,0
156,95,96,0
157,96,97,0
158,98,100,0
159,99,100,0
160,100,101,0
161,92,102,0
162,101,102,0
163,100,103,0
164,100,104,0
165,103,104,0
166,103,105,0
167,100,106,0
168,104,105,0
169,105,106,0
170,105,107,0
171,105,108,0
172,106,107,0
173,108,109,0
174,103,110,0
175,109,110,0
176,110,111,0
177,110,112,0
178,17,113,0
179,32,113,0
180,32,114,0
181,27,115,0
182,114,115,0
183,68,116,0
184,12,117,0
185,75,118,0
186,76,118,0
