time,feature,component,id,parameter,value
2,topology,link,3036,status,0
2,topology,link,2007,status,0
2,topology,link,1750,status,0
2,topology,link,1401,status,0
2,topology,link,3314,status,0
2,topology,link,3350,status,0
2,topology,link,210,status,0
2,topology,link,513,status,0
2,topology,link,1858,status,0
2,topology,link,64,status,0
2,topology,link,3071,status,0
2,topology,link,1086,status,0
2,topology,link,325,status,0
2,topology,link,2543,status,0
2,topology,link,1338,status,0
2,topology,link,3212,status,0
2,topology,link,1529,status,0
2,topology,link,131,status,0
3,topology,link,2622,status,0
3,topology,link,343,status,0
3,topology,link,2546,status,0
3,topology,link,436,status,0
3,topology,link,1794,status,0
3,topology,link,2175,status,0
3,topology,link,3397,status,0
3,topology,link,2020,status,0
3,topology,link,1563,status,0
3,topology,link,2638,status,0
3,topology,link,1003,status,0
3,topology,link,1505,status,0
3,topology,link,3389,status,0
3,topology,link,2681,status,0
3,topology,link,116,status,0
3,topology,link,1575,status,0
3,topology,link,893,status,0
3,topology,link,1542,status,0
4,topology,link,2733,status,0
4,topology,link,1908,status,0
4,topology,link,186,status,0
4,topology,link,339,status,0
4,topology,link,2892,status,0
4,topology,link,2185,status,0
4,topology,link,413,status,0
4,topology,link,2319,status,0
4,topology,link,897,status,0
4,topology,link,2797,status,0
4,topology,link,2856,status,0
4,topology,link,269,status,0
4,topology,link,363,status,0
4,topology,link,142,status,0
4,topology,link,3144,status,0
4,topology,link,1406,status,0
4,topology,link,2527,status,0
4,topology,link,3495,status,0
5,topology,link,844,status,0
5,topology,link,246,status,0
5,topology,link,2289,status,0
5,topology,link,3233,status,0
5,topology,link,1700,status,0
5,topology,link,3386,status,0
5,topology,link,3441,status,0
5,topology,link,135,status,0
5,topology,link,562,status,0
5,topology,link,2590,status,0
5,topology,link,701,status,0
5,topology,link,2816,status,0
5,topology,link,2227,status,0
5,topology,link,1939,status,0
5,topology,link,1501,status,0
5,topology,link,2939,status,0
5,topology,link,2604,status,0
5,topology,link,2009,status,0
6,topology,link,279,status,0
6,topology,link,456,status,0
6,topology,link,3395,status,0
6,topology,link,3297,status,0
6,topology,link,525,status,0
6,topology,link,926,status,0
6,topology,link,1058,status,0
6,topology,link,3300,status,0
6,topology,link,3420,status,0
6,topology,link,3444,status,0
6,topology,link,2063,status,0
6,topology,link,3422,status,0
6,topology,link,2648,status,0
6,topology,link,295,status,0
6,topology,link,369,status,0
6,topology,link,679,status,0
6,topology,link,564,status,0
6,topology,link,1452,status,0
7,topology,link,2373,status,0
7,topology,link,2929,status,0
7,topology,link,1565,status,0
7,topology,link,1069,status,0
7,topology,link,1732,status,0
7,topology,link,2026,status,0
7,topology,link,2139,status,0
7,topology,link,2105,status,0
7,topology,link,2177,status,0
7,topology,link,228,status,0
7,topology,link,674,status,0
7,topology,link,2129,status,0
7,topology,link,496,status,0
7,topology,link,2074,status,0
7,topology,link,1842,status,0
7,topology,link,2057,status,0
7,topology,link,1012,status,0
7,topology,link,998,status,0
8,topology,link,3116,status,0
8,topology,link,1781,status,0
8,topology,link,3078,status,0
8,topology,link,3481,status,0
8,topology,link,2753,status,0
8,topology,link,1402,status,0
8,topology,link,35,status,0
8,topology,link,657,status,0
8,topology,link,1583,status,0
8,topology,link,654,status,0
8,topology,link,1170,status,0
8,topology,link,2135,status,0
8,topology,link,1287,status,0
8,topology,link,2691,status,0
8,topology,link,2594,status,0
8,topology,link,30,status,0
8,topology,link,1219,status,0
8,topology,link,2586,status,0
9,topology,link,1526,status,0
9,topology,link,37,status,0
9,topology,link,3256,status,0
9,topology,link,1523,status,0
9,topology,link,1123,status,0
9,topology,link,773,status,0
9,topology,link,611,status,0
9,topology,link,2827,status,0
9,topology,link,123,status,0
9,topology,link,672,status,0
9,topology,link,1925,status,0
9,topology,link,509,status,0
9,topology,link,117,status,0
9,topology,link,3241,status,0
9,topology,link,397,status,0
9,topology,link,1310,status,0
9,topology,link,2056,status,0
9,topology,link,1001,status,0
10,topology,link,2580,status,0
10,topology,link,446,status,0
10,topology,link,2375,status,0
10,topology,link,2322,status,0
10,topology,link,2401,status,0
10,topology,link,1051,status,0
10,topology,link,3265,status,0
10,topology,link,1975,status,0
10,topology,link,1475,status,0
10,topology,link,301,status,0
10,topology,link,1478,status,0
10,topology,link,3335,status,0
10,topology,link,467,status,0
10,topology,link,838,status,0
10,topology,link,584,status,0
10,topology,link,862,status,0
10,topology,link,3428,status,0
10,topology,link,2763,status,0
11,topology,link,1439,status,0
11,topology,link,3334,status,0
11,topology,link,793,status,0
11,topology,link,1623,status,0
11,topology,link,1017,status,0
11,topology,link,1460,status,0
11,topology,link,614,status,0
11,topology,link,1949,status,0
11,topology,link,425,status,0
11,topology,link,1187,status,0
11,topology,link,591,status,0
11,topology,link,3018,status,0
11,topology,link,19,status,0
11,topology,link,2834,status,0
11,topology,link,671,status,0
11,topology,link,1524,status,0
11,topology,link,1481,status,0
11,topology,link,917,status,0
12,topology,link,3291,status,0
12,topology,link,2286,status,0
12,topology,link,989,status,0
12,topology,link,3357,status,0
12,topology,link,444,status,0
12,topology,link,1926,status,0
12,topology,link,67,status,0
