id,type,real_power,reactive_power,Gs,Bs,area,volt_mag,volt_ang,baseKV,zone,volt_max,volt_min,real_gen,reactive_gen,Qmax,Qmin,Vg,mBase,power_max,power_min,Pc1,Pc2,Qc1min,Qc1max,Qc2min,Qc2max,ramp_agc,ramp_10,ramp_30,ramp_q,apf,model,startup,shutdown,n_cost,cost_coeff_1,cost_coeff_2,cost_coeff_3
1,SLACK_BUS,0,0,0,0,1,1,0,135,1,1.05,0.95,23.54,0,150,-20,1,100,80,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.02,2,0
2,GEN,21.7,12.7,0,0,1,1,-0.415490716941444,135,1,1.1,0.95,60.97,0,60,-20,1,100,80,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.0175,1.75,0
3,BUS,2.4,1.2,0,0,1,0.983138289162614,-1.52207393527766,135,1,1.05,0.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,BUS,7.6,1.6,0,0,1,0.980092995437085,-1.79472765145222,135,1,1.05,0.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,BUS,0,0,0,0.19,1,0.98240619684494,-1.86382266857255,135,1,1.05,0.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,BUS,0,0,0,0,1,0.973184021231835,-2.26695670181405,135,1,1.05,0.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,BUS,22.8,10.9,0,0,1,0.967355447785444,-2.65183676215725,135,1,1.05,0.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,BUS,30,30,0,0,1,0.960623708390895,-2.72576943142107,135,1,1.05,0.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,BUS,0,0,0,0,1,0.980506117113015,-2.99693308989841,135,1,1.05,0.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,BUS,5.8,2,0,0,3,0.984404295821925,-3.37493594035308,135,1,1.05,0.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,BUS,0,0,0,0,1,0.980506117113015,-2.99693308989841,135,1,1.05,0.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
