time,feature,component,id,parameter,value
2,system,-,-,line_rate_change_factor,0.02361824528177814
3,system,-,-,line_rate_change_factor,0.04667866905336604
4,system,-,-,line_rate_change_factor,0.0691944460800148
5,system,-,-,line_rate_change_factor,0.09117843996213837
6,system,-,-,line_rate_change_factor,0.1126432104844809
7,system,-,-,line_rate_change_factor,0.13360102079170955
8,system,-,-,line_rate_change_factor,0.15406384439453324
9,system,-,-,line_rate_change_factor,0.17404337201034759
10,system,-,-,line_rate_change_factor,0.19355101824231757
11,system,-,-,line_rate_change_factor,0.21259792810071065
12,system,-,-,line_rate_change_factor,0.23119498337020838
13,system,-,-,line_rate_change_factor,0.2493528088268323
14,system,-,-,line_rate_change_factor,0.26708177830803803
15,system,-,-,line_rate_change_factor,0.28439202063944347
16,system,-,-,line_rate_change_factor,0.30129342542157866
17,system,-,-,line_rate_change_factor,0.3177956486799629
18,system,-,-,line_rate_change_factor,0.33390811838173584
19,system,-,-,line_rate_change_factor,0.3496400398219971
20,system,-,-,line_rate_change_factor,0.3650004008829286
21,system,-,-,line_rate_change_factor,0.3799979771687064
22,system,-,-,line_rate_change_factor,0.3946413370191345
23,system,-,-,line_rate_change_factor,0.4089388464048659
24,system,-,-,line_rate_change_factor,0.4228986737070065
25,system,-,-,line_rate_change_factor,0.43652879438383396
26,system,-,-,line_rate_change_factor,0.4498369955272957
27,system,-,-,line_rate_change_factor,0.4628308803118921
28,system,-,-,line_rate_change_factor,0.47551787233848264
29,system,-,-,line_rate_change_factor,0.4879052198755013
30,system,-,-,line_rate_change_factor,0.4999999999999999
