id,current,real_power_from,reactive_power_from,real_power_to,reactive_power_to,resistance,reactance,susceptance,rateA,rateB,rateC,ratio,angle,angmin,angmax
1,0.0,10.89057285938453,-5.086368747129555,-10.86427953578534,2.165248717927113,0.02,0.06,0.03,130.0,130.0,10.51801500851876,0.0,0.0,-360.0,360.0
2,0.0,15.083230197493801,4.08788450961417,-14.956534996506935,-5.573003641481559,0.05,0.19,0.02,130.0,130.0,10.51801500851876,0.0,0.0,-360.0,360.0
3,0.0,16.067334025612407,5.206210990131691,-15.88932825908564,-6.66244359801053,0.06,0.17,0.02,65.0,65.0,5.25900750425938,0.0,0.0,-360.0,360.0
4,0.0,12.556534972804071,4.373003660509443,-12.538244378560123,-4.299841283533653,0.01,0.04,0.0,130.0,130.0,10.51801500851876,0.0,0.0,-360.0,360.0
5,0.0,13.791855118767614,4.50586525402425,-13.681590208861358,-6.029927549998435,0.05,0.2,0.02,130.0,130.0,10.51801500851876,0.0,0.0,-360.0,360.0
6,0.0,20.27509036982828,7.421657034274752,-19.98588821180368,-8.50113769938189,0.06,0.18,0.02,65.0,65.0,5.25900750425938,0.0,0.0,-360.0,360.0
7,0.0,22.499134639000008,11.384799129710439,-22.432943046237842,-11.120032758661793,0.01,0.04,0.0,90.0,90.0,7.2817026982052955,0.0,0.0,-360.0,360.0
8,0.0,13.68159018874553,6.213300735208927,-13.561387515134909,-6.875263567523223,0.05,0.12,0.01,70.0,70.0,5.663546543048563,0.0,0.0,-360.0,360.0
9,0.0,9.270031201067942,3.167087939459191,-9.238612441753201,-4.024736432057207,0.03,0.08,0.01,130.0,130.0,10.51801500851876,0.0,0.0,-360.0,360.0
10,0.0,24.822309914696046,24.428096383289432,-24.694245778648185,-23.915839839098002,0.01,0.04,0.0,32.0,32.0,2.5890498482507716,0.0,0.0,-360.0,360.0
11,0.0,5.788958195274019,-3.3563351357288345,-5.78895819527402,3.455620347641046,0.0,0.21,0.0,65.0,65.0,5.25900750425938,0.0,0.0,-360.0,360.0
12,0.0,3.30797611440031,-1.9179057898728795,-3.30797611440031,2.004358219358433,0.0,0.56,0.0,32.0,32.0,2.5890498482507716,0.0,0.0,-360.0,360.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,65.0,65.0,5.25900750425938,0.0,0.0,-360.0,360.0
14,0.0,5.788958209841276,-3.4556203377099277,-5.788958209841278,3.5076268773974335,0.0,0.11,0.0,65.0,65.0,5.25900750425938,0.0,0.0,-360.0,360.0
15,0.0,-1.6715620287675603,-2.0225142207055473,1.6715620287675603,2.041148935492116,0.0,0.26,0.0,65.0,65.0,5.25900750425938,0.0,0.0,-360.0,360.0
16,0.0,-36.99999999650326,-9.255834271437333,36.999999996503256,11.352877220739947,0.0,0.14,0.0,65.0,65.0,5.25900750425938,0.0,0.0,-360.0,360.0
17,0.0,5.387777267210775,0.879062988872845,-5.350953753221081,-0.7992787085618416,0.12,0.26,0.0,32.0,32.0,2.5890498482507716,0.0,0.0,-360.0,360.0
18,0.0,9.477029234467285,-1.0633985223146958,-9.411476463392304,1.185139382882519,0.07,0.13,0.0,32.0,32.0,2.5890498482507716,0.0,0.0,-360.0,360.0
19,0.0,9.263631459649185,-0.10097910020286444,-9.184094073241138,0.27772884777630263,0.09,0.2,0.0,32.0,32.0,2.5890498482507716,0.0,0.0,-360.0,360.0
20,0.0,-0.8490462419371508,-0.8007212905683875,0.8521875381446583,0.803577014393394,0.22,0.2,0.0,16.0,16.0,1.2945249241253858,0.0,0.0,-360.0,360.0
21,0.0,5.684094077085486,-2.07772884471737,-5.653422417317763,2.1505740366657156,0.08,0.19,0.0,16.0,16.0,1.2945249241253858,0.0,0.0,-360.0,360.0
22,0.0,9.164594704160713,0.7596924295674717,-9.067780713132771,-0.5660644475115866,0.11,0.22,0.0,16.0,16.0,1.2945249241253858,0.0,0.0,-360.0,360.0
23,0.0,5.867780714030924,-0.33393554842812023,-5.845682480101583,0.38181505527502696,0.06,0.13,0.0,16.0,16.0,1.2945249241253858,0.0,0.0,-360.0,360.0
24,0.0,-3.654317502840106,-3.781815058711712,3.66322181153428,3.8025917789981185,0.03,0.07,0.0,32.0,32.0,2.5890498482507716,0.0,0.0,-360.0,360.0
25,0.0,5.915586873348033,4.624776916497517,-5.86322181329468,-4.502591776373025,0.09,0.21,0.0,32.0,32.0,2.5890498482507716,0.0,0.0,-360.0,360.0
26,0.0,3.369970804145771,8.012955978116018,-3.346577576244103,-7.950574037044905,0.03,0.08,0.0,32.0,32.0,2.5890498482507716,0.0,0.0,-360.0,360.0
27,0.0,-2.233825938929334,-11.667002952172496,2.2775105800322706,11.76893378141268,0.03,0.07,0.0,32.0,32.0,2.5890498482507716,0.0,0.0,-360.0,360.0
28,0.0,-3.7547973995913835,-8.4827150277722,3.8169596795974416,8.615919913499466,0.07,0.15,0.0,32.0,32.0,2.5890498482507716,0.0,0.0,-360.0,360.0
29,0.0,-19.777510575982532,-22.968933781901253,19.870610716352502,23.15513406264119,0.01,0.02,0.0,32.0,32.0,2.5890498482507716,0.0,0.0,-360.0,360.0
30,0.0,-8.805305769580784,-5.248408821791849,8.914666564473727,5.467130411577737,0.1,0.2,0.0,16.0,16.0,1.2945249241253858,0.0,0.0,-360.0,360.0
