id,from_node_id,to_node_id,status
1,1,2,1
2,2,3,1
3,3,4,1
4,4,5,1
5,4,6,1
6,6,7,1
7,6,8,1
8,8,9,1
9,9,10,1
10,9,11,1
11,9,12,1
12,9,13,1
13,13,14,1
14,13,15,1
15,1,15,1
16,1,16,1
17,1,17,1
18,3,15,1
19,4,18,1
20,4,18,1
21,5,6,1
22,7,8,1
23,10,12,1
24,11,13,1
25,12,13,1
26,12,16,1
27,12,17,1
28,14,15,1
29,18,19,1
30,19,20,1
31,21,20,1
32,21,22,1
33,22,23,1
34,23,24,1
35,24,25,1
36,24,25,1
37,24,26,1
38,26,27,1
39,27,28,1
40,28,29,1
41,7,29,1
42,25,30,1
43,30,31,1
44,31,32,1
45,32,33,1
46,34,32,1
47,34,35,1
48,35,36,1
49,36,37,1
50,37,38,1
51,37,39,1
52,36,40,1
53,22,38,1
54,11,41,1
55,41,42,1
56,41,43,1
57,38,44,1
58,15,45,1
59,14,46,1
60,46,47,1
61,47,48,1
62,48,49,1
63,49,50,1
64,50,51,1
65,10,51,1
66,13,49,1
67,29,52,1
68,52,53,1
69,53,54,1
70,54,55,1
71,11,43,1
72,44,45,1
73,40,56,1
74,56,41,1
75,56,42,1
76,39,57,1
77,57,56,1
78,38,49,1
79,38,48,1
80,9,55,1
