id,type,real_power,reactive_power,Gs,Bs,area,volt_mag,volt_ang,baseKV,zone,volt_max,volt_min,real_gen,reactive_gen,Qmax,Qmin,Vg,mBase,power_max,power_min,Pc1,Pc2,Qc1min,Qc1max,Qc2min,Qc2max,ramp_agc,ramp_10,ramp_30,ramp_q,apf,model,startup,shutdown,n_cost,cost_coeff_1,cost_coeff_2,cost_coeff_3
1,GEN,55.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.06,0.94,450.8,0.0,200.0,-140.0,1.04,100.0,575.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.077579519,20.0,0.0
2,GEN,3.0,0.0,0.0,0.0,1.0,1.0,-1.5710087036367,0.0,1.0,1.06,0.94,0.0,0.0,50.0,-17.0,1.01,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.01,40.0,0.0
3,GEN,41.0,0.0,0.0,0.0,1.0,1.0,-6.194038030489751,0.0,1.0,1.06,0.94,40.0,0.0,60.0,-10.0,0.985,100.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.25,20.0,0.0
4,BUS,0.0,0.0,0.0,0.0,1.0,1.0,-7.421388693833866,0.0,1.0,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,BUS,13.0,0.0,0.0,0.0,1.0,1.0,-8.474479349759408,0.0,1.0,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,GEN,75.0,0.0,0.0,0.0,1.0,1.0,-8.508420823961949,0.0,1.0,1.06,0.94,0.0,0.0,25.0,-8.0,0.98,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.01,40.0,0.0
7,BUS,0.0,0.0,0.0,0.0,1.0,1.0,-7.46027280792226,0.0,1.0,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,GEN,150.0,0.0,0.0,0.0,1.0,1.0,-4.214292012184228,0.0,1.0,1.06,0.94,450.0,0.0,200.0,-140.0,1.005,100.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0222222222,20.0,0.0
9,GEN,121.0,0.0,0.0,0.0,1.0,1.0,-9.338838435396028,0.0,1.0,1.06,0.94,0.0,0.0,9.0,-3.0,0.98,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.01,40.0,0.0
10,BUS,5.0,0.0,0.0,0.0,1.0,1.0,-11.063218985586168,0.0,1.0,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,BUS,0.0,0.0,0.0,0.0,1.0,1.0,-10.052213468008414,0.0,1.0,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,GEN,377.0,0.0,0.0,0.0,1.0,1.0,-9.879407263114059,0.0,1.0,1.06,0.94,310.0,0.0,155.0,-150.0,1.015,100.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0322580645,20.0,0.0
13,BUS,18.0,0.0,0.0,0.0,1.0,1.0,-9.656282773675487,0.0,1.0,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,BUS,10.5,0.0,0.0,0.0,1.0,1.0,-9.333337044013435,0.0,1.0,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,BUS,22.0,0.0,0.0,0.0,1.0,1.0,-7.268954954221588,0.0,1.0,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,BUS,43.0,0.0,0.0,0.0,1.0,1.0,-8.519932287981387,0.0,1.0,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,BUS,42.0,0.0,0.0,0.0,1.0,1.0,-5.338625883017489,0.0,1.0,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,BUS,27.2,0.0,0.0,10.0,1.0,1.0,-11.833724320327402,0.0,1.0,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,BUS,3.3,0.0,0.0,0.0,1.0,1.0,-13.63318363006021,0.0,1.0,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,BUS,2.3,0.0,0.0,0.0,1.0,1.0,-13.95268886335419,0.0,1.0,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,BUS,0.0,0.0,0.0,0.0,1.0,1.0,-13.500947906203008,0.0,1.0,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,BUS,0.0,0.0,0.0,0.0,1.0,1.0,-13.43289886283145,0.0,1.0,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,BUS,6.3,0.0,0.0,0.0,1.0,1.0,-13.50444299182474,0.0,1.0,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,BUS,0.0,0.0,0.0,0.0,1.0,1.0,-13.785330411303693,0.0,1.0,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,BUS,6.3,0.0,0.0,5.9,1.0,1.0,-18.498054607995698,0.0,1.0,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,BUS,0.0,0.0,0.0,0.0,1.0,1.0,-13.467410891521633,0.0,1.0,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,BUS,9.3,0.0,0.0,0.0,1.0,1.0,-11.760189791634874,0.0,1.0,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,BUS,4.6,0.0,0.0,0.0,1.0,1.0,-10.610634062744428,0.0,1.0,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,BUS,17.0,0.0,0.0,0.0,1.0,1.0,-9.748597779973757,0.0,1.0,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
