time,feature,component,id,parameter,value
2,system,-,-,line_rate_change_factor,0.02734505258771447
3,system,-,-,line_rate_change_factor,0.02734505258771447
4,system,-,-,line_rate_change_factor,0.02734505258771447
5,system,-,-,line_rate_change_factor,0.02734505258771447
6,system,-,-,line_rate_change_factor,0.02734505258771447
7,system,-,-,line_rate_change_factor,0.02734505258771447
8,system,-,-,line_rate_change_factor,0.02734505258771447
9,system,-,-,line_rate_change_factor,0.02734505258771447
10,system,-,-,line_rate_change_factor,0.02734505258771447
11,system,-,-,line_rate_change_factor,0.02734505258771447
12,system,-,-,line_rate_change_factor,0.02734505258771447
13,system,-,-,line_rate_change_factor,0.02734505258771447
14,system,-,-,line_rate_change_factor,0.02734505258771447
15,system,-,-,line_rate_change_factor,0.02734505258771447
16,system,-,-,line_rate_change_factor,0.02734505258771447
17,system,-,-,line_rate_change_factor,0.02734505258771447
18,system,-,-,line_rate_change_factor,0.02734505258771447
19,system,-,-,line_rate_change_factor,0.02734505258771447
20,system,-,-,line_rate_change_factor,0.02734505258771447
21,system,-,-,line_rate_change_factor,0.02734505258771447
22,system,-,-,line_rate_change_factor,0.02734505258771447
23,system,-,-,line_rate_change_factor,0.02734505258771447
24,system,-,-,line_rate_change_factor,0.02734505258771447
25,system,-,-,line_rate_change_factor,0.02734505258771447
26,system,-,-,line_rate_change_factor,0.02734505258771447
