id,type,real_power,reactive_power,Gs,Bs,area,volt_mag,volt_ang,baseKV,zone,volt_max,volt_min,real_gen,reactive_gen,Qmax,Qmin,Vg,mBase,power_max,power_min,Pc1,Pc2,Qc1min,Qc1max,Qc2min,Qc2max,ramp_agc,ramp_10,ramp_30,ramp_q,apf,model,startup,shutdown,n_cost,cost_coeff_1,cost_coeff_2,cost_coeff_3
1,SLACK_BUS,55,17,0,0,1,1.04,0,0,1,1.06,0.94,128.9,-16.1,200,-140,1.04,100,575.88,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.077579519,20,0
2,GEN,3,88,0,0,1,1.01,-1.18816284301525,0,1,1.06,0.94,0,-0.8,50,-17,1.01,100,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
3,GEN,41,21,0,0,1,0.985,-5.98812672233592,0,1,1.06,0.94,40,-1,60,-10,0.985,100,140,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.25,20,0
4,BUS,0,0,0,0,1,0.980779628056713,-7.33736538374577,0,1,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,BUS,13,4,0,0,1,0.976498679452909,-8.5464095010061,0,1,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,GEN,75,2,0,0,1,0.98,-8.67411975880065,0,1,1.06,0.94,0,0.8,25,-8,0.98,100,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
7,BUS,0,0,0,0,1,0.984201657221894,-7.60139767961244,0,1,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,GEN,150,22,0,0,1,1.005,-4.47791165920797,0,1,1.06,0.94,450,62.1,200,-140,1.005,100,550,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.0222222222,20,0
9,GEN,121,26,0,0,1,0.98,-9.58467153167714,0,1,1.06,0.94,0,2.2,9,-3,0.98,100,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
10,BUS,5,2,0,0,1,0.986242027232,-11.4496576922095,0,1,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,BUS,0,0,0,0,1,0.973962299875262,-10.193248607968,0,1,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,GEN,377,24,0,0,1,1.015,-10.4712110284785,0,1,1.06,0.94,310,128.5,155,-150,1.015,100,410,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.0322580645,20,0
13,BUS,18,2.3,0,0,1,0.978887415421015,-9.80351812111804,0,1,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,BUS,10.5,5.3,0,0,1,0.970176849403043,-9.35030557494053,0,1,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,BUS,22,5,0,0,1,0.988031614250645,-7.19016973771557,0,1,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,BUS,43,3,0,0,1,1.01336862713369,-8.85893532662499,0,1,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,BUS,42,8,0,0,1,1.01745426968147,-5.3958931267683,0,1,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,BUS,27.2,9.8,0,10,1,1.00065923281024,-11.7296389378416,0,1,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,BUS,3.3,0.6,0,0,1,0.970157847280775,-13.2265061667933,0,1,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,BUS,2.3,1,0,0,1,0.963790166075937,-13.4443087988051,0,1,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,BUS,0,0,0,0,1,1.00849825681698,-12.9290053642913,0,1,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,BUS,0,0,0,0,1,1.0097439875055,-12.8743091946862,0,1,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,BUS,6.3,2.1,0,0,1,1.00832989399651,-12.939557302612,0,1,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,BUS,0,0,0,0,1,0.999233038667316,-13.2921200713625,0,1,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,BUS,6.3,3.2,0,5.9,1,0.982520776933439,-18.1732261753211,0,1,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,BUS,0,0,0,0,1,0.958818250802258,-12.9812574053684,0,1,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,BUS,9.3,0.5,0,0,1,0.981541101300141,-11.5136203644973,0,1,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,BUS,4.6,2.3,0,0,1,0.99667798702077,-10.4816082987608,0,1,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
