time,feature,component,id,parameter,value
2,topology,link,21,status,0
3,topology,link,41,status,0
4,topology,link,31,status,0
5,topology,link,14,status,0
6,topology,link,32,status,0
7,topology,link,7,status,0
8,topology,link,1,status,0
9,topology,link,28,status,0
10,topology,link,20,status,0
11,topology,link,6,status,0
12,topology,link,26,status,0
13,topology,link,40,status,0
14,topology,link,38,status,0
15,topology,link,35,status,0
16,topology,link,8,status,0
17,topology,link,12,status,0
18,topology,link,18,status,0
19,topology,link,22,status,0
20,topology,link,24,status,0
21,topology,link,17,status,0
22,topology,link,29,status,0
23,topology,link,25,status,0
24,topology,link,16,status,0
25,topology,link,2,status,0
26,topology,link,13,status,0
27,topology,link,10,status,0
28,topology,link,33,status,0
29,topology,link,39,status,0
30,topology,link,30,status,0
31,topology,link,5,status,0
32,topology,link,11,status,0
33,topology,link,36,status,0
34,topology,link,15,status,0
35,topology,link,19,status,0
36,topology,link,34,status,0
37,topology,link,9,status,0
38,topology,link,3,status,0
39,topology,link,4,status,0
40,topology,link,37,status,0
41,topology,link,23,status,0
42,topology,link,27,status,0
