id,current,real_power_from,reactive_power_from,real_power_to,reactive_power_to,resistance,reactance,susceptance,rateA,rateB,rateC,ratio,angle,angmin,angmax
1,12.0198054991476,10.8905728593845,-5.08636874712955,-10.8642795357853,2.16524871792711,0.02,0.06,0.03,130,130,130,0,0,-360,360
2,15.627368075096,15.0832301974938,4.08788450961399,-14.9565349965069,-5.57300364148139,0.05,0.19,0.02,130,130,130,0,0,-360,360
3,16.889755935607,16.0673340256124,5.20621099013178,-15.8893282590857,-6.6624435980107,0.06,0.17,0.02,65,65,65,0,0,-360,360
4,13.5242723441778,12.5565349728041,4.37300366051084,-12.5382443785602,-4.29984128353504,0.01,0.04,0,130,130,130,0,0,-360,360
5,14.5092415137559,13.7918551187676,4.50586525402407,-13.6815902088613,-6.02992754999826,0.05,0.2,0.02,130,130,130,0,0,-360,360
6,21.5907453006861,20.2750903698282,7.42165703427475,-19.9858882118036,-8.50113769938189,0.06,0.18,0.02,65,65,65,0,0,-360,360
7,25.7277268257728,22.4991346389998,11.3847991297101,-22.4329430462377,-11.1200327586615,0.01,0.04,0,90,90,90,0,0,-360,360
8,15.2954491925585,13.6815901887456,6.21330073520927,-13.561387515135,-6.87526356752348,0.05,0.12,0.01,70,70,70,0,0,-360,360
9,10.0660487775312,9.27003120106816,3.16708793945918,-9.23861244175337,-4.0247364320572,0.03,0.08,0.01,130,130,130,0,0,-360,360
10,35.7860498026619,24.8223099146963,24.4280963832891,-24.6942457786484,-23.9158398390976,0.01,0.04,0,32,32,32,0,0,-360,360
11,6.87594883191764,5.78895819527407,-3.35633513572892,-5.78895819527407,3.45562034764114,0,0.21,0,65,65,65,0,0,-360,360
12,3.92911361972474,3.30797611440034,-1.91790578987295,-3.30797611440034,2.0043582193585,0,0.56,0,32,32,32,0,0,-360,360
13,0,0,0,0,0,0,0.21,0,65,65,65,0,0,-360,360
14,6.87594883948324,5.78895820984128,-3.45562033771045,-5.78895820984128,3.50762687739796,0,0.11,0,65,65,65,0,0,-360,360
15,2.67716230266944,-1.67156202876751,-2.02251422070564,1.67156202876751,2.0411489354922,0,0.26,0,65,65,65,0,0,-360,360
16,38.7025557415843,-36.9999999965033,-9.25583427143733,36.9999999965032,11.3528772207399,0,0.14,0,65,65,65,0,0,-360,360
17,5.53951817923525,5.38777726721075,0.879062988872889,-5.35095375322106,-0.799278708561886,0.12,0.26,0,32,32,32,0,0,-360,360
18,9.67712849048735,9.47702923446724,-1.0633985223147,-9.41147646339226,1.18513938288252,0.07,0.13,0,32,32,32,0,0,-360,360
19,9.40079112557654,9.26363145964916,-0.100979100202952,-9.18409407324111,0.277728847776389,0.09,0.2,0,32,32,32,0,0,-360,360
20,1.19493176060535,-0.849046241937151,-0.800721290568387,0.852187538144658,0.803577014393394,0.22,0.2,0,16,16,16,0,0,-360,360
21,6.19189588976238,5.68409407708555,-2.07772884471737,-5.65342241731783,2.15057403666572,0.08,0.19,0,16,16,16,0,0,-360,360
22,9.38150942632964,9.16459470416073,0.759692429567514,-9.06778071313279,-0.566064447511628,0.11,0.22,0,16,16,16,0,0,-360,360
23,6.06880465019552,5.86778071403082,-0.333935548428458,-5.84568248010148,0.381815055275363,0.06,0.13,0,16,16,16,0,0,-360,360
24,5.44802982559603,-3.65431750284022,-3.78181505871205,3.66322181153439,3.80259177899846,0.03,0.07,0,32,32,32,0,0,-360,360
25,7.62780440620251,5.91558687334804,4.62477691649752,-5.86322181329468,-4.50259177637303,0.09,0.21,0,32,32,32,0,0,-360,360
26,8.83048279194884,3.36997080414595,8.01295597811671,-3.34657757624427,-7.95057403704559,0.03,0.08,0,32,32,32,0,0,-360,360
27,12.0671235322717,-2.23382593892904,-11.667002952172,2.27751058003197,11.7689337814122,0.03,0.07,0,32,32,32,0,0,-360,360
28,9.42354801290393,-3.75479739959129,-8.48271502777203,3.81695967959734,8.61591991349929,0.07,0.15,0,32,32,32,0,0,-360,360
29,30.512315606976,-19.7775105759825,-22.9689337819013,19.8706107163525,23.1551340626412,0.01,0.02,0,32,32,32,0,0,-360,360
30,10.4575711756098,-8.80530576958081,-5.24840882179185,8.91466656447375,5.46713041157774,0.1,0.2,0,16,16,16,0,0,-360,360
31,8.07606706204184,-2.09757039295988,7.79891387548134,2.1758378239886,-7.68151272893826,0.12,0.18,0,16,16,16,0,0,-360,360
32,7.14024449388518,7.08533344024242,0.883822082231557,-7.01905542138023,-0.746167735363922,0.13,0.27,0,16,16,16,0,0,-360,360
33,4.29126379170297,-3.85678240237572,1.76677099731025,3.89177079774268,-1.70600167904132,0.19,0.33,0,16,16,16,0,0,-360,360
34,4.30786208592934,3.54639418919965,2.37051916780516,-3.49999999982118,-2.29999999994989,0.25,0.38,0,16,16,16,0,0,-360,360
35,7.54158526567516,-7.43816498697327,-0.664517488394227,7.50072804612467,0.783956055865069,0.11,0.21,0,16,16,16,0,0,-360,360
