id,type,real_power,reactive_power,Gs,Bs,area,volt_mag,volt_ang,baseKV,zone,volt_max,volt_min,real_gen,reactive_gen,Qmax,Qmin,Vg,mBase,power_max,power_min,Pc1,Pc2,Qc1min,Qc1max,Qc2min,Qc2max,ramp_agc,ramp_10,ramp_30,ramp_q,apf,model,startup,shutdown,n_cost,cost_coeff_1,cost_coeff_2,cost_coeff_3
1,SLACK_BUS,55,17,0,0,1,1.04,0,0,1,1.06,0.94,128.9,-16.1,200,-140,1.04,100,575.88,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.077579519,20,0
2,GEN,3,88,0,0,1,1.01,-1.18,0,1,1.06,0.94,0,-0.8,50,-17,1.01,100,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
3,GEN,41,21,0,0,1,0.985,-5.97,0,1,1.06,0.94,40,-1,60,-10,0.985,100,140,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.25,20,0
4,BUS,0,0,0,0,1,0.981,-7.32,0,1,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,BUS,13,4,0,0,1,0.976,-8.52,0,1,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,GEN,75,2,0,0,1,0.98,-8.65,0,1,1.06,0.94,0,0.8,25,-8,0.98,100,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
7,BUS,0,0,0,0,1,0.984,-7.58,0,1,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,GEN,150,22,0,0,1,1.005,-4.45,0,1,1.06,0.94,450,62.1,200,-140,1.005,100,550,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.0222222222,20,0
9,GEN,121,26,0,0,1,0.98,-9.56,0,1,1.06,0.94,0,2.2,9,-3,0.98,100,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.01,40,0
10,BUS,5,2,0,0,1,0.986,-11.43,0,1,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,BUS,0,0,0,0,1,0.974,-10.17,0,1,1.06,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,GEN,377,24,0,0,1,1.015,-10.46,0,1,1.06,0.94,310,128.5,155,-150,1.015,100,410,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0.0322580645,20,0
