branch_id,from_bus,to_bus,status
1,1,2,1
2,2,3,1
3,3,4,0
4,4,5,0
5,4,6,0
6,6,7,0
7,6,8,0
8,8,9,0
9,9,10,0
10,9,11,0
11,9,12,0
12,9,13,0
13,13,14,0
14,13,15,0
15,1,15,0
16,1,16,0
17,1,17,0
18,3,15,0
19,4,18,1
20,4,18,0
21,5,6,0
22,7,8,0
23,10,12,0
24,11,13,0
25,12,13,0
26,12,16,0
27,12,17,0
28,14,15,0
29,18,19,0
30,19,20,1
31,21,20,1
32,21,22,1
33,22,23,1
34,23,24,1
35,24,25,1
36,24,25,0
37,24,26,0
38,26,27,0
39,27,28,0
40,28,29,0
41,7,29,0
42,25,30,0
43,30,31,0
44,31,32,0
45,32,33,0
46,34,32,0
47,34,35,0
48,35,36,0
49,36,37,0
50,37,38,0
51,37,39,0
52,36,40,0
53,22,38,1
54,11,41,0
55,41,42,0
56,41,43,0
57,38,44,0
58,15,45,0
59,14,46,0
60,46,47,0
61,47,48,0
62,48,49,0
63,49,50,0
64,50,51,0
65,10,51,0
66,13,49,0
67,29,52,0
68,52,53,0
69,53,54,0
70,54,55,0
71,11,43,0
72,44,45,0
73,40,56,0
74,56,41,0
75,56,42,0
76,39,57,0
77,57,56,0
78,38,49,0
79,38,48,0
80,9,55,0
