id,from_node_id,to_node_id,status
1,7,8,1
2,26,28,1
3,27,29,1
4,39,41,1
5,42,45,1
6,54,56,1
7,63,65,1
8,64,65,0
9,90,92,1
10,91,93,1
11,125,128,1
12,149,150,1
13,155,157,1
14,156,158,1
15,169,171,1
16,183,184,1
17,190,192,1
18,2727,157,1
19,2727,158,1
20,2728,68,1
21,2726,76,1
22,2726,105,1
23,127,2725,1
24,2729,148,1
25,2729,149,1
26,2730,47,1
27,2730,48,1
28,82,2724,1
29,42,23,1
30,26,90,1
31,27,91,1
32,146,30,1
33,135,33,1
34,134,20,1
35,164,21,1
36,40,109,1
37,39,91,1
38,178,83,1
39,203,165,1
40,194,165,1
41,193,164,1
42,207,167,1
43,42,10,1
44,198,18,1
45,100,54,1
46,162,82,1
47,44,9,1
48,185,150,1
49,121,56,1
50,29,93,1
51,28,123,1
52,25,192,1
53,120,63,1
54,122,63,0
55,82,31,1
56,92,28,1
57,12,4,1
58,30,11,1
59,24,4,1
60,17,7,1
61,21,10,1
62,26,5,1
63,17,3,1
64,26,19,1
65,27,20,1
66,13,6,1
67,13,12,1
68,32,13,1
69,23,11,1
70,33,5,1
71,19,4,1
72,26,1,1
73,27,2,1
74,27,24,1
75,25,9,1
76,28,25,1
77,14,29,1
78,8,15,1
79,8,14,1
80,31,29,1
81,62,58,1
82,60,55,1
83,67,34,1
84,50,34,1
85,58,42,1
86,59,43,1
87,59,34,1
88,68,51,1
89,51,38,1
90,36,55,1
91,37,35,1
92,54,37,1
93,67,36,1
94,67,66,1
95,61,42,1
96,62,43,1
97,61,39,1
98,60,40,1
99,46,39,1
100,49,45,1
101,57,53,1
102,41,57,1
103,63,57,1
104,47,64,1
105,52,44,1
106,96,125,1
107,75,106,1
108,106,94,1
109,79,85,1
110,131,130,1
111,107,131,1
112,91,131,1
113,100,119,1
114,81,113,1
115,116,101,1
116,126,74,1
117,108,90,1
118,118,79,1
119,119,78,1
120,79,76,1
121,78,73,1
122,114,78,1
123,103,72,1
124,110,117,1
125,91,69,1
126,86,90,1
127,129,87,1
128,132,76,1
129,133,77,1
130,102,77,1
131,125,104,1
132,126,111,1
133,104,84,1
134,105,95,1
135,112,80,1
136,89,78,1
137,117,108,1
138,109,99,1
139,116,79,1
140,107,88,1
141,98,79,1
142,117,78,1
143,83,97,1
144,124,118,1
145,124,110,1
146,100,71,1
147,101,70,1
148,93,127,1
149,82,127,1
150,122,115,1
151,123,121,1
152,115,128,1
153,173,156,1
154,174,155,1
155,176,155,1
156,177,156,1
157,176,144,1
158,165,140,1
159,137,155,1
160,170,173,1
161,152,174,1
162,154,156,1
163,136,137,1
164,148,143,1
165,153,181,1
166,153,180,1
167,175,147,1
168,175,169,0
169,169,140,1
170,170,167,1
171,169,152,1
172,146,135,1
173,147,134,1
174,164,147,1
175,165,146,1
176,154,143,1
177,159,148,1
178,149,141,1
179,168,141,1
180,168,159,1
181,176,136,1
182,178,177,1
183,181,173,1
184,157,138,1
185,163,139,1
186,161,162,1
187,171,151,1
188,188,193,1
189,197,203,1
190,189,208,1
191,191,194,1
192,193,182,1
193,202,204,1
194,190,201,1
195,208,183,1
196,200,184,1
197,186,192,1
198,195,187,1
199,205,199,1
200,186,205,1
201,187,206,1
202,394,1,1
203,395,2,1
204,247,246,1
205,247,29,1
206,249,3,1
207,250,3,1
208,277,4,1
209,278,5,1
210,343,6,1
211,343,6,0
212,344,9,1
213,355,10,1
214,356,11,1
215,357,12,1
216,362,14,1
217,370,15,1
218,387,17,1
219,386,18,1
220,392,19,1
221,393,20,1
222,399,21,1
223,400,21,1
224,405,23,1
225,406,23,1
226,407,24,1
227,408,24,1
228,414,25,1
229,466,30,1
230,490,31,1
231,491,31,1
232,546,32,1
233,575,33,1
234,576,33,0
235,589,34,1
236,589,34,0
237,594,35,1
238,614,37,1
239,618,38,1
240,666,42,1
241,668,46,1
242,670,48,1
243,697,49,1
244,698,49,0
245,716,50,1
246,732,53,1
247,735,52,1
248,742,55,1
249,760,60,1
250,759,60,1
251,770,61,1
252,769,62,1
253,779,63,1
254,780,64,1
255,808,66,1
256,833,68,1
257,855,69,1
258,885,72,1
259,902,75,1
260,1002,82,1
261,1003,82,1
262,1092,83,1
263,1093,83,1
264,1115,84,1
265,1114,85,1
266,1188,88,1
267,1189,89,1
268,1234,94,1
269,1233,95,1
270,1248,96,1
271,1256,100,1
272,1255,101,1
273,1287,102,1
274,1286,103,1
275,1289,104,1
276,1364,105,1
277,1352,106,1
278,1354,107,1
279,1389,108,1
280,1395,110,1
281,1433,111,1
282,1570,113,1
283,1630,115,1
284,1632,115,1
285,1675,116,1
286,1685,119,1
287,1791,120,1
288,1793,122,1
289,1794,123,1
290,1819,124,1
291,1839,125,1
292,1838,126,1
293,1859,129,1
294,1860,130,1
295,1930,134,1
296,1951,136,1
297,1952,136,1
298,1975,137,1
299,1977,138,1
300,1978,139,1
301,1983,140,1
302,2009,141,1
303,2015,143,1
304,2016,143,1
305,2077,144,1
306,2078,144,1
307,2093,146,1
308,2092,147,1
309,2094,2092,1
310,2094,147,1
311,2104,148,1
312,2146,152,1
313,2154,153,1
314,2155,154,1
315,2171,156,1
316,2172,155,1
317,2178,159,1
318,2179,159,1
319,2210,161,1
320,2213,162,1
321,2214,162,1
322,2215,164,1
323,2234,167,1
324,2235,167,1
325,2236,168,1
326,2237,168,1
327,2239,170,1
328,2238,171,1
329,2239,171,1
330,2252,173,1
331,2253,174,1
332,2258,175,1
333,2320,176,1
334,2321,177,1
335,2424,178,1
336,2446,181,1
337,2445,181,1
338,2467,182,1
339,2490,185,1
340,2499,186,1
341,2500,187,1
342,2503,189,1
343,2504,188,1
344,2520,190,1
345,2522,191,1
346,2521,192,1
347,2528,193,1
348,2529,194,1
349,2594,196,1
350,2595,197,1
351,2596,198,1
352,2661,199,1
353,2681,202,1
354,2680,201,1
355,2698,203,1
356,2698,204,1
357,2718,205,1
358,2719,205,1
359,2721,207,1
360,2722,208,1
361,2585,350,1
362,2083,293,1
363,2118,316,1
364,1929,420,1
365,2065,221,1
366,2378,524,1
367,1264,243,1
368,1274,440,1
369,677,381,1
370,629,406,1
371,775,464,1
372,829,1280,1
373,678,1576,1
374,742,1655,1
375,768,1362,1
376,1739,598,1
377,2204,1150,1
378,2417,1149,1
379,2423,985,0
380,2652,2153,0
381,2486,2358,0
382,2687,2012,0
383,2673,2215,1
384,2609,2216,1
385,2614,2215,1
386,2562,2092,1
387,2560,1934,1
388,2579,2216,1
389,1689,791,1
390,2649,2203,0
391,665,453,1
392,1292,2075,1
393,524,1214,1
394,665,464,1
395,666,253,1
396,511,1018,1
397,2534,2389,0
398,763,381,1
399,711,334,1
400,696,453,1
401,2552,255,1
402,2585,241,1
403,729,480,1
404,829,1669,1
405,1769,710,1
406,1707,710,1
407,1593,741,1
408,761,334,1
409,2671,373,1
410,2457,337,1
411,666,471,1
412,713,449,1
413,2540,2332,0
414,659,1022,1
415,2584,2389,1
416,2581,348,1
417,1520,2135,0
418,429,357,1
419,318,220,1
420,566,519,1
421,428,566,1
422,566,570,1
423,347,343,1
424,346,344,1
425,389,343,1
426,477,344,1
427,262,405,1
428,263,406,1
429,460,344,1
430,481,405,1
431,519,460,1
432,427,349,1
433,371,240,1
434,426,238,1
435,481,274,1
436,463,451,1
437,466,254,1
438,289,277,1
439,304,278,1
440,331,393,1
441,332,331,1
442,335,260,1
443,377,278,1
444,578,431,1
445,390,316,1
446,339,239,1
